"filename", "language", "JavaScript", "HTML", "CSS", "comment", "blank", "total"
"h:\Daten\developerakademie\11_modul11\el_pollo_loco_v2\css\responsive.css", "CSS", 0, 0, 47, 1, 5, 53
"h:\Daten\developerakademie\11_modul11\el_pollo_loco_v2\css\style.css", "CSS", 0, 0, 49, 6, 7, 62
"h:\Daten\developerakademie\11_modul11\el_pollo_loco_v2\css\ui.css", "CSS", 0, 0, 43, 3, 8, 54
"h:\Daten\developerakademie\11_modul11\el_pollo_loco_v2\index.html", "HTML", 0, 25, 0, -5, 6, 26
"h:\Daten\developerakademie\11_modul11\el_pollo_loco_v2\js\game.js", "JavaScript", 105, 0, 0, -2, -8, 95
"h:\Daten\developerakademie\11_modul11\el_pollo_loco_v2\levels\level1.js", "JavaScript", 26, 0, 0, 0, 6, 32
"h:\Daten\developerakademie\11_modul11\el_pollo_loco_v2\models\babychicken.class.js", "JavaScript", 0, 0, 0, 0, 1, 1
"h:\Daten\developerakademie\11_modul11\el_pollo_loco_v2\models\bottle.class.js", "JavaScript", 15, 0, 0, 0, 4, 19
"h:\Daten\developerakademie\11_modul11\el_pollo_loco_v2\models\character.class.js", "JavaScript", 50, 0, 0, -5, -12, 33
"h:\Daten\developerakademie\11_modul11\el_pollo_loco_v2\models\coin.class.js", "JavaScript", 1, 0, 0, 0, 1, 2
"h:\Daten\developerakademie\11_modul11\el_pollo_loco_v2\models\collectable-object.class.js", "JavaScript", 6, 0, 0, 0, -1, 5
"h:\Daten\developerakademie\11_modul11\el_pollo_loco_v2\models\drawable-object.class.js", "JavaScript", 5, 0, 0, -5, -3, -3
"h:\Daten\developerakademie\11_modul11\el_pollo_loco_v2\models\endboss.class.js", "JavaScript", 79, 0, 0, -2, 12, 89
"h:\Daten\developerakademie\11_modul11\el_pollo_loco_v2\models\level.class.js", "JavaScript", 4, 0, 0, 0, 0, 4
"h:\Daten\developerakademie\11_modul11\el_pollo_loco_v2\models\movable-object.class.js", "JavaScript", 4, 0, 0, -4, -6, -6
"h:\Daten\developerakademie\11_modul11\el_pollo_loco_v2\models\salsabottle.class.js", "JavaScript", 0, 0, 0, 0, 1, 1
"h:\Daten\developerakademie\11_modul11\el_pollo_loco_v2\models\statusbars\bottleamount-bar.class.js", "JavaScript", 27, 0, 0, 0, 6, 33
"h:\Daten\developerakademie\11_modul11\el_pollo_loco_v2\models\statusbars\coinamount-bar.class.js", "JavaScript", 27, 0, 0, 0, 6, 33
"h:\Daten\developerakademie\11_modul11\el_pollo_loco_v2\models\statusbars\health-bar.class.js", "JavaScript", 21, 0, 0, 0, 5, 26
"h:\Daten\developerakademie\11_modul11\el_pollo_loco_v2\models\statusbars\status-bar.class.js", "JavaScript", -17, 0, 0, 0, -2, -19
"h:\Daten\developerakademie\11_modul11\el_pollo_loco_v2\models\throwable-object.class.js", "JavaScript", 50, 0, 0, 0, 9, 59
"h:\Daten\developerakademie\11_modul11\el_pollo_loco_v2\models\world.class.js", "JavaScript", 182, 0, 0, -15, 8, 175
"Total", "-", 585, 25, 139, -28, 53, 774